EXAMPLE ONLY. DO NOT USE. EDIT AND SAVE AS directr.csv,,,,,,
Name,Datastore,Template,Network,Host,Username,Password
CS000-WindowsXP-01,Data02,CS000-WindowsXP-TMPL-YYYY,CS000 X01,192.168.1.7,cs000.01,Welcome2VMWare01!
CS000-WindowsXP-02,Data02,CS000-WindowsXP-TMPL-YYYY,CS000 X02,192.168.1.7,cs000.02,Welcome2VMWare02!
CS000-WindowsXP-03,Data02,CS000-WindowsXP-TMPL-YYYY,CS000 X03,192.168.1.7,cs000.03,Welcome2VMWare03!
CS000-WindowsXP-04,Data02,CS000-WindowsXP-TMPL-YYYY,CS000 X04,192.168.1.7,cs000.04,Welcome2VMWare04!
CS000-WindowsXP-05,Data03,CS000-WindowsXP-TMPL-YYYY,CS000 X05,192.168.1.8,cs000.05,Welcome2VMWare05!
CS000-WindowsXP-06,Data03,CS000-WindowsXP-TMPL-YYYY,CS000 X06,192.168.1.8,cs000.06,Welcome2VMWare06!
CS000-WindowsXP-07,Data03,CS000-WindowsXP-TMPL-YYYY,CS000 X07,192.168.1.8,cs000.07,Welcome2VMWare07!
CS000-WindowsXP-08,Data03,CS000-WindowsXP-TMPL-YYYY,CS000 X08,192.168.1.8,cs000.08,Welcome2VMWare08!
CS000-WindowsXP-09,Data04,CS000-WindowsXP-TMPL-YYYY,CS000 X09,192.168.1.9,cs000.09,Welcome2VMWare09!
CS000-WindowsXP-10,Data04,CS000-WindowsXP-TMPL-YYYY,CS000 X10,192.168.1.9,cs000.10,Welcome2VMWare10!
CS000-WindowsXP-11,Data04,CS000-WindowsXP-TMPL-YYYY,CS000 X11,192.168.1.9,cs000.11,Welcome2VMWare11!
CS000-WindowsXP-12,Data04,CS000-WindowsXP-TMPL-YYYY,CS000 X12,192.168.1.9,cs000.12,Welcome2VMWare12!
CS000-WindowsXP-13,Data05,CS000-WindowsXP-TMPL-YYYY,CS000 X13,192.168.1.10,cs000.13,Welcome2VMWare13!
CS000-WindowsXP-14,Data05,CS000-WindowsXP-TMPL-YYYY,CS000 X14,192.168.1.10,cs000.14,Welcome2VMWare14!
CS000-WindowsXP-15,Data05,CS000-WindowsXP-TMPL-YYYY,CS000 X15,192.168.1.10,cs000.15,Welcome2VMWare15!
CS000-WindowsXP-16,Data05,CS000-WindowsXP-TMPL-YYYY,CS000 X16,192.168.1.10,cs000.16,Welcome2VMWare16!
CS000-WindowsXP-17,Data06,CS000-WindowsXP-TMPL-YYYY,CS000 X17,192.168.1.11,cs000.17,Welcome2VMWare17!
CS000-WindowsXP-18,Data06,CS000-WindowsXP-TMPL-YYYY,CS000 X18,192.168.1.11,cs000.18,Welcome2VMWare18!
CS000-WindowsXP-19,Data06,CS000-WindowsXP-TMPL-YYYY,CS000 X19,192.168.1.11,cs000.19,Welcome2VMWare19!
CS000-WindowsXP-20,Data06,CS000-WindowsXP-TMPL-YYYY,CS000 X20,192.168.1.11,cs000.20,Welcome2VMWare20!
CS000-WindowsXP-21,Data07,CS000-WindowsXP-TMPL-YYYY,CS000 X21,192.168.1.12,cs000.21,Welcome2VMWare21!
CS000-WindowsXP-22,Data07,CS000-WindowsXP-TMPL-YYYY,CS000 X22,192.168.1.12,cs000.22,Welcome2VMWare22!
CS000-WindowsXP-23,Data07,CS000-WindowsXP-TMPL-YYYY,CS000 X23,192.168.1.12,cs000.23,Welcome2VMWare23!
CS000-WindowsXP-24,Data07,CS000-WindowsXP-TMPL-YYYY,CS000 X24,192.168.1.12,cs000.24,Welcome2VMWare24!
